1 : 'consequence', 'necessarily', 'easily', 'alone', 'prompt', 'introduce', 'papillary'
987 : 'recently', 'alzheimer', 'secretion', 'reverse', 'initial', 'illness', 'angle'
988 : 'surgeon', 'choice', 'effectiveness', 'childhood', 'expert', 'resistant', 'gel'
989 : 'characteristic', 'army', 'cost', 'david', 'feed', 'defective', 'lincoln'
990 : 'mycobacterium', 'experience', 'artery', 'n', 'environment', 'evaluation', 'bison'
991 : 'people', 'urine', 'primarily', 'pneumonia', 'count', 'improvement', 'polynesiensis'
992 : 'term', 'jr', 'exist', 'huntington', 'anemia', 'chemical', 'inherit'
993 : 'number', 'post', 'diabete', 'antibody', 'genome', 'raby', 'blood'
994 : 'peripheral', 'german', 'notice', 'surgeon', 'medical', 'weakness', 'inspection'
995 : 'improvement', 'know', 'patient', 'falciparum', 'contrast', 'distinguish', 'supplemental'
996 : 'july', 'positive', 'conventional', 'critical', 'important', 'recognize', 'malignancy'
997 : 'surgical', 'instead', 'eg', 'endemic', 'sexual', 'health', 'gesture'
998 : 'correspond', 'cost', 'w', 'respond', 'genome', 'bubonic', 'come'
999 : 'susceptible', 'encephalitis', 'distribution', 'open', 'meningitis', 'replication', 'viral'
1000 : 'biopsy', 'mi', 'platelet', 'fatigue', 'cover', 'transmit', 'adequately'
